BATTERS - SD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
ProfarLF,4,1,0,0,1,0,0,.244,.736
"Soto, JRF",3,1,0,0,1,2,0,.251,.890
"Machado, M3B",4,0,1,2,0,1,0,.304,.910
DruryDH,4,1,1,0,0,1,2,.265,.827
Cronenworth2B,3,0,1,0,1,1,1,.240,.730
Myers1B,2,0,0,0,0,1,3,.247,.611
a-BellPH-1B,2,0,0,0,0,0,0,.277,.814
GrishamCF,2,0,1,1,1,0,0,.198,.670
KimSS,4,0,0,0,0,1,5,.254,.712
AlfaroC,3,0,0,0,0,2,3,.261,.706
b-MazaraPH,1,0,0,0,0,1,0,.264,.668
,32,3,4,3,4,10,14,,
