BATTERS - NYM,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
NimmoCF,3,1,1,0,1,0,1,.265,.765
"Marte, SRF",4,0,1,0,0,1,2,.292,.797
LindorSS,3,0,1,1,1,1,1,.269,.805
Alonso1B,4,1,1,0,0,1,3,.281,.898
VogelbachDH,4,1,1,1,0,2,4,.242,.808
CanhaLF,4,1,2,1,0,1,0,.265,.735
Guillorme3B,2,1,1,1,0,0,0,.283,.712
Escobar3B,2,0,0,0,0,1,1,.218,.660
McNeil2B,3,1,1,0,1,0,1,.307,.812
McCannC,4,0,1,1,0,2,2,.190,.532
,33,6,10,5,3,9,15,,
