PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Bassitt(W, 10-7)",5.0,4,0,0,2,5,0,3.27
Williams,2.0,2,0,0,0,1,0,3.02
Givens,1.0,1,0,0,0,2,0,3.55
"Rodríguez, J",0.2,2,0,0,1,2,0,5.01
Ottavino,0.1,0,0,0,0,1,0,2.18
,9.0,9,0,0,3,11,0,
