BATTERS - STL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Edman2B,5,2,1,0,1,1,2,.273,.797
Goldschmidt1B,4,3,3,3,0,0,0,.312,.890
DickersonLF,2,0,0,0,0,0,2,.190,.462
Arenado3B,3,2,1,2,1,0,1,.312,.974
Donovan3B,1,1,0,0,1,0,1,.308,1.015
YepezLF-1B,4,2,2,0,1,0,2,.366,1.020
PujolsDH-P,3,2,2,1,2,0,2,.239,.788
MolinaC,3,1,2,4,0,0,1,.253,.626
a-KniznerPH-C,1,0,1,3,0,0,0,.245,.729
CarlsonRF,5,0,2,1,0,1,2,.220,.610
BaderCF,5,1,1,0,0,0,4,.231,.652
"Sosa, ESS",5,1,2,1,0,1,3,.206,.476
,41,15,17,15,6,3,20,,
