PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
Manaea,6.0,4,2,2,3,6,1,3.87
Crismatt,1.0,0,0,0,1,2,0,1.35
"García, L",1.0,0,0,0,0,1,0,2.96
Rogers,1.0,0,0,0,0,2,0,2.79
"Wilson, S",1.2,0,0,0,1,3,0,3.67
"Hill, T(W, 2-0)",0.1,0,0,0,0,0,0,5.17
,11.0,4,2,2,5,14,1,
