PITCHERS - AZ,IP,H,R,ER,BB,SO,HR,ERA
Gallen,6.0,4,2,1,3,11,1,2.79
Mantiply,1.1,0,0,0,0,2,0,0.34
"Ramirez, No",0.2,0,0,0,1,0,0,4.80
Melancon,1.0,0,0,0,0,0,0,5.79
"Nelson, K",0.2,0,0,0,1,0,0,1.66
Poppen,0.1,0,0,0,0,1,0,2.61
"Kennedy, I(L, 3-4)",0.1,1,1,0,1,1,0,3.55
,10.1,5,3,1,6,15,1,
