BATTERS - SD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
GrishamCF,5,0,0,0,0,3,4,.184,.609
ProfarLF,2,0,0,0,3,1,1,.243,.755
Cronenworth2B,5,0,0,0,0,1,6,.254,.757
VoitDH,2,0,0,0,2,1,0,.237,.776
"1-Alcántara, SePR-DH",0,0,0,0,0,0,0,.167,.441
"a-Nola, AuPH-DH",1,0,0,0,0,1,2,.226,.601
2-AzocarPR,0,1,0,0,0,0,0,.247,.630
MazaraRF,5,0,0,0,0,3,3,.298,.737
Hosmer1B,4,1,1,1,1,2,2,.278,.736
AlfaroC,5,0,2,1,0,2,1,.285,.803
AbramsSS,3,1,1,0,0,0,0,.180,.533
Kim3B,4,0,1,0,0,1,1,.225,.665
,36,3,5,2,6,15,20,,
