PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
Liberatore,4.0,3,0,0,3,4,0,4.74
"Hicks, J",2.0,1,0,0,1,3,0,4.45
"Gallegos(BS, 5)",1.0,1,1,1,0,2,1,3.09
"Fernández, J",0.2,1,0,0,1,0,0,0.00
"Helsley(W, 5-1)",2.1,2,1,0,1,3,0,0.77
"Naughton(S, 1)",1.0,0,0,0,0,0,0,3.98
,11.0,8,2,1,6,12,1,
