PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
Strider,6.0,2,0,0,2,12,0,2.60
"Smith, W.M.",1.0,2,1,1,0,2,0,3.27
O'Day,0.2,0,0,0,2,1,0,3.98
"Lee, D",0.1,0,0,0,0,1,0,1.04
Minter,1.0,1,0,0,0,2,0,1.75
"Matzek(L, 0-2)",2.0,3,2,0,0,1,0,3.95
,11.0,8,3,1,4,19,0,
