 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,26,84.9,--,--,--,--,--,--,--,--,--,--,--,6,--,20,--
2021,176,94.2,90.5,--,--,2,--,--,--,--,--,9,--,154,89.7,11,--
2022,430,96.0,91.2,--,--,--,--,--,--,--,--,159,90.3,152,89.8,119,92.9
