 ,2+ Stars (0-90%), , , ,Components of Jump, , ,Jump
Year,Outs,Opp,%,OAA,Reaction,Burst,Route,Feet vs Avg,Feet Covered
2019,1,7,14.3,0,1.6,2.3,-0.2,3.7,38.3
2020,4,6,66.7,1,0.4,-0.8,-0.5,-1.8,32.2
2021,16,38,42.1,-1,0.1,0,-0.6,-0.5,32.8
2022,30,63,47.6,-3,-0.8,-0.5,0.2,-1.1,33.2
