Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Rochester Red Wings,Triple-A,First Inning,3,3,1,1,0,0,1,1,0,0,0,0,0,.333,.333,1.333,1.666
Memphis Redbirds,Triple-A,First Inning,28,24,6,10,3,0,1,2,4,8,1,1,0,.417,.500,.667,1.167
Rochester Red Wings,Triple-A,Second Inning,1,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Memphis Redbirds,Triple-A,Second Inning,7,5,1,2,0,0,0,0,2,1,0,0,0,.400,.571,.400,.971
Memphis Redbirds,Triple-A,Third Inning,17,15,1,4,0,1,0,1,2,5,1,0,0,.267,.353,.400,.753
Rochester Red Wings,Triple-A,Third Inning,2,2,0,1,1,0,0,0,0,1,0,0,0,.500,.500,1.000,1.500
Memphis Redbirds,Triple-A,Fourth Inning,11,10,3,4,1,0,0,5,1,3,1,0,0,.400,.455,.500,.955
Memphis Redbirds,Triple-A,Fifth Inning,22,20,2,4,1,0,2,4,1,7,0,0,1,.200,.273,.550,.823
Rochester Red Wings,Triple-A,Fifth Inning,2,2,0,1,0,0,0,1,0,1,0,0,0,.500,.500,.500,1.000
Memphis Redbirds,Triple-A,Sixth Inning,5,3,1,1,0,0,1,5,1,1,0,1,0,.333,.400,1.333,1.733
Rochester Red Wings,Triple-A,Sixth Inning,1,1,1,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
Rochester Red Wings,Triple-A,Seventh Inning,2,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Memphis Redbirds,Triple-A,Seventh Inning,16,15,2,2,0,0,0,3,1,5,0,0,0,.133,.188,.133,.321
Rochester Red Wings,Triple-A,Eighth Inning,1,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Memphis Redbirds,Triple-A,Eighth Inning,13,13,2,2,0,0,0,0,0,1,0,0,0,.154,.154,.154,.308
Memphis Redbirds,Triple-A,Ninth Inning,8,8,0,1,0,1,0,0,0,4,0,0,0,.125,.125,.375,.500
Rochester Red Wings,Triple-A,Ninth Inning,1,1,0,1,0,0,0,1,0,0,0,0,0,1.000,1.000,1.000,2.000
Memphis Redbirds,Triple-A,Extra Innings,1,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
