 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2019,,67,17.1,23.9%,0.0%,26,22.6,0.0%,11.5%
2020,,57,17.2,29.8%,1.8%,38,21.6,0.0%,7.9%
2021,,403,17.3,26.1%,2.2%,186,23.8,0.5%,13.4%
2022,,735,17.1,27.2%,1.5%,365,22.0,0.3%,7.7%
