Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2019,0,,0,0,0,0,0,0,0,0,78,79,1
2020,1,,0,0,1,1,0,0,0,-1,85,87,2
2021,-3,,-2,-1,1,-3,1,0,-1,0,83,81,-2
2022,-3,,-3,-2,0,-5,0,2,0,2,90,89,-1
