PITCHERS - MIL,IP,H,R,ER,BB,SO,HR,ERA
"Ashby(L, 2-9)",4.2,5,5,0,3,6,0,4.13
Milner,0.2,3,2,2,0,0,0,3.00
Gustave,0.2,1,0,0,0,0,0,3.86
Suter,1.0,0,0,0,0,1,0,4.02
Strzelecki,1.0,2,0,0,0,2,0,3.27
,8.0,11,7,2,3,9,0,
