Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2018,NYM,NL,248,106,81,4,0,.359,20,2,50,838,3.379,.097,.012,.583,.142,2,0
2019,NYM,NL,567,271,171,0,1,.337,62,5,68,2067,3.646,.132,.041,.467,.214,3,0
2020,NYM,NL,209,83,73,0,3,.335,18,3,43,804,3.847,.115,.019,.833,.142,3,0
2021,NYM,NL,426,139,186,0,1,.280,27,10,68,1514,3.554,.136,.016,.500,.109,3,1
2022,NYM,NL,589,242,226,0,5,.353,49,6,91,2065,3.506,.104,.015,.656,.128,0,0
5 Seasons,NYM,NL,2039,841,737,4,10,.332,176,26,320,7288,3.574,.119,.023,.570,.151,11,1
