Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2018,L,242,47,19.4,.372,.350
2019,L,565,111,19.6,.385,.382
2020,L,207,81,39.1,.369,.344
2021,L,426,182,42.7,.274,.336
2022,L,588,130,22.1,.356,.397
