Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2018,,22.7,3,3.6,-1,6,1,2,66.7
2019,,22.3,23,20.5,3,9,14,10,43.5
2020,,21.4,4,4.3,0,2,2,3,75.0
2021,,22.8,7,6.2,1,5,4,3,42.9
2022,,23.5,9,10.7,-2,6,8,6,66.7
Player,,22.6,46,45.3,1,28,29,24,52.2
