PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
"Wright(L, 3-2)",4.2,7,6,6,4,4,1,3.03
Chavez,0.1,0,0,0,0,1,0,3.86
Matzek,1.0,0,0,0,1,1,0,5.06
Stephens,1.0,0,0,0,0,2,0,1.80
Minter,1.0,1,0,0,0,2,0,2.13
Thornburg,1.0,3,3,3,2,0,0,4.32
,9.0,11,9,9,7,10,1,
