PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
"Suárez, R(W, 1-0)",5.0,2,2,1,0,3,0,2.16
"Eflin(H, 1)",1.0,2,0,0,0,0,0,6.75
"Alvarado(H, 3)",1.0,2,0,0,0,2,0,3.86
"Domínguez(S, 1)",2.0,1,0,0,0,3,0,0.00
,9.0,7,2,1,0,8,0,
