Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2018,25,27.1,,,7,44,319,52.5
2019,26,26.0,,,12,66,463,32.4
2021,28,26.7,,,8,45,394,41.8
