 ,2+ Stars (0-90%), , , ,Components of Jump, , ,Jump
Year,Outs,Opp,%,OAA,Reaction,Burst,Route,Feet vs Avg,Feet Covered
2016,38,79,48.1,-1,-1.4,0.9,0.4,0,33.5
2017,31,52,59.6,7,-1.3,1.7,0.5,0.7,33
2018,38,60,63.3,7,-1.3,0.9,0.6,0.2,33.3
2019,38,68,55.9,5,-1.6,-0.1,0.8,-0.6,32.3
2020,15,30,50,1,-1.1,0.5,0.2,-0.7,32.4
2021,32,57,56.1,2,-1.6,0,0.7,-0.8,32
2022,33,73,45.2,-1,-1.4,-0.2,0.7,-0.9,32.4
