Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2015,23,28.7,4.39,,13,2,63,90.8
2016,24,28.6,4.32,2,30,7,82,88.2
2017,25,28.5,4.33,,15,11,112,83.5
2018,26,28.3,4.35,,19,16,130,80.7
2019,27,28.1,4.37,,23,19,168,75.5
2020,28,27.7,4.47,,47,10,146,71.0
2021,29,28.1,4.45,,60,9,164,75.9
2022,30,28.0,4.5,,33,7,202,67.7
