,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,538,506,60,131,19,73,4,.259,.299,.425,.724
9 Seasons,3790,3534,471,874,175,512,25,.247,.293,.466,.759
