PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Darvish(L, 4-3)",7.2,7,5,5,2,4,1,4.03
Crismatt,0.1,1,0,0,0,0,0,1.88
,8.0,8,5,5,2,4,1,
