PITCHERS - CLE,IP,H,R,ER,BB,SO,HR,ERA
Pilkington,5.2,4,4,4,4,2,1,3.57
Shaw,0.1,1,0,0,0,0,0,3.93
Hentges,1.1,0,0,0,0,1,0,0.96
"De Los Santos, E(W, 1-0)",0.2,1,0,0,0,1,0,2.35
Stephan,1.0,2,0,0,0,2,0,3.60
,9.0,8,4,4,4,6,1,
