BATTERS - BAL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MullinsCF,3,0,1,0,1,1,2,.242,.684
Mancini1B,3,0,0,0,1,0,2,.288,.731
SantanderRF,4,0,0,0,0,2,4,.219,.720
HaysLF,4,0,1,0,0,1,3,.289,.796
MountcastleDH,4,0,0,0,0,2,3,.256,.679
RutschmanC,4,0,2,0,0,0,0,.250,.668
"Urías, R3B",4,0,0,0,0,1,2,.220,.612
Odor2B,3,0,1,0,1,1,0,.222,.658
1-McKennaPR,0,0,0,0,0,0,0,.222,.599
MateoSS,4,0,0,0,0,3,4,.207,.559
,33,0,5,0,3,11,20,,
