BATTERS - CIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
NaquinRF,4,1,1,3,1,1,0,.214,.653
Drury2B-3B,4,2,2,1,0,2,2,.246,.786
PhamDH,4,1,0,0,1,3,4,.235,.772
Moustakas3B,2,1,0,0,1,0,0,.232,.611
"1-Reynolds, MPR-2B",0,1,0,0,0,0,0,.357,.938
"Stephenson, TC",4,1,3,4,0,1,0,.310,.959
Moran1B,3,1,1,0,1,0,2,.200,.500
"Farmer, KSS",4,0,0,0,0,1,5,.211,.547
FriedlLF,2,0,1,1,1,1,0,.150,.467
Almora Jr.CF,4,1,0,0,0,2,4,.250,.500
,31,9,8,9,5,11,17,,
