PITCHERS - CWS,IP,H,R,ER,BB,SO,HR,ERA
"Velasquez(W, 1-2)",5.2,4,0,0,0,6,0,4.58
Banks,0.1,0,0,0,0,0,0,0.00
Bummer,1.0,0,0,0,0,0,0,6.23
Graveman,1.0,2,0,0,0,2,0,1.59
Hendriks,1.0,0,0,0,1,0,0,5.40
,9.0,6,0,0,1,8,0,
