PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
Anderson,6.0,4,1,0,2,6,0,2.79
Price,1.0,0,0,0,0,1,0,3.47
Almonte,0.2,1,0,0,1,0,0,1.37
"Vesia(W, 2-0)",0.1,0,0,0,0,0,0,3.64
Kimbrel,1.0,2,0,0,0,0,0,4.09
,9.0,7,1,0,3,7,0,
