BATTERS - TEX,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Semien2B,5,0,0,0,0,1,2,.248,.735
SeagerSS,4,1,2,0,0,0,0,.245,.772
"Lowe, N1B",3,1,1,0,1,1,1,.301,.848
"García, AdDH",3,2,1,2,0,2,2,.249,.757
Jung3B,4,0,1,1,0,1,0,.198,.639
"Smith, JoshLF",3,0,0,0,1,2,0,.193,.545
PlaweckiC,3,0,1,0,0,1,0,.220,.572
a-HeimPH-C,1,0,0,0,0,0,0,.224,.687
TaverasCF,4,0,2,0,0,0,3,.260,.663
"Thompson, BRF",3,0,0,0,0,0,1,.262,.606
b-CalhounPH,1,0,0,0,0,0,1,.197,.591
,34,4,8,3,2,8,10,,
