PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Bassitt(L, 4-4)",3.1,8,7,7,2,6,0,4.48
Nogosek,1.2,4,4,0,1,0,1,0.71
Ottavino,1.0,0,0,0,0,1,0,3.32
"Rodríguez, J",1.0,2,2,1,1,0,0,5.49
Lugo,1.0,2,0,0,0,0,0,3.70
,8.0,16,13,8,4,7,1,
