Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2016,,22.5,24,23.7,0,10,20,9,37.5
2017,,22.5,28,25.6,2,8,20,12,42.9
2018,,21.9,20,20.1,0,10,17,8,40.0
2019,,21.2,10,8.7,1,3,8,3,30.0
2020,,22.5,10,8.0,2,4,6,4,40.0
2021,,22.4,27,25.2,2,2,15,14,51.9
2022,,22.4,17,16.7,0,12,16,3,17.6
Player,,22.3,136,128.0,8,49,102,53,39.0
