 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,98,84.1,80.7,--,--,--,--,--,--,--,--,98,80.7,--,--,--,--
2021,340,87.3,80.5,--,--,--,--,--,--,--,--,340,80.5,--,--,--,--
2022,117,87.0,83.2,--,--,--,--,--,--,--,--,74,75.5,4,--,39,--
