,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,580,515,66,122,17,69,8,.237,.316,.384,.700
14 Seasons,8168,7035,1118,1948,287,1002,205,.277,.369,.469,.838
