 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2009,,485,"1,989",4,-8,16,8,20
2010,,651,"2,621",5,-13,18,11,20
2011,,673,"2,820",8,-14,19,13,25
2012,,656,"2,546",13,5,16,10,44
2013,,686,"2,617",-1,1,18,13,32
2014,,643,"2,625",7,0,21,12,40
2015,,676,"2,741",9,-8,25,13,40
2016,,668,"2,714",-8,-18,23,12,9
2017,,638,"2,593",1,-16,24,12,21
2018,,699,"2,964",-24,-10,25,17,9
2019,,262,"1,165",0,-8,12,4,8
2020,,241,974,-10,-1,8,6,3
2021,,572,"2,308",-5,-19,20,15,11
2022,,579,"2,364",-12,-11,17,8,1
