BATTERS - LAA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Fletcher2B,3,3,2,1,1,0,0,.289,.766
OhtaniDH,5,2,4,4,0,1,1,.265,.875
Rengifo3B,4,0,1,1,0,0,3,.273,.747
"Rojas, J3B",1,0,0,0,0,1,0,.111,.286
WardRF,4,0,0,1,0,0,3,.265,.810
Walsh1B,4,0,0,0,0,2,0,.222,.653
SuzukiC,4,0,0,0,0,2,0,.183,.546
DuggarLF,3,0,0,0,1,3,0,.153,.447
"Velazquez, ASS",4,1,2,0,0,1,0,.182,.491
SierraCF,4,1,1,0,0,1,3,.197,.501
,36,7,10,7,2,11,10,,
