BATTERS - CHC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MorelCF,3,1,1,0,2,0,2,.314,.972
ContrerasC,5,1,1,0,0,0,5,.258,.860
HappLF,4,0,0,0,1,1,1,.268,.810
Wisdom3B,4,1,1,2,0,1,2,.218,.763
SchwindelDH,4,0,2,2,0,0,0,.234,.663
Rivas1B,4,0,0,0,0,1,1,.215,.675
HoernerSS,4,1,3,0,0,0,0,.295,.753
OrtegaRF,2,0,1,0,2,0,0,.224,.639
Simmons2B,4,1,1,1,0,0,5,.233,.491
,34,5,10,5,5,3,16,,
