PITCHERS - CWS,IP,H,R,ER,BB,SO,HR,ERA
"Cueto(L, 0-1)",6.2,9,5,5,3,2,0,2.41
Sousa,0.2,1,0,0,1,1,0,6.14
Foster,0.2,0,0,0,0,0,0,2.57
"Ruiz, J",1.0,0,0,0,1,0,0,5.09
,9.0,10,5,5,5,3,0,
