BATTERS - CWS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Anderson, TiSS",6,1,3,0,0,0,3,.344,.849
VaughnDH,5,1,0,0,1,3,5,.307,.825
Robert Jr.CF,5,2,3,2,0,2,4,.295,.758
"Abreu, J1B",5,2,3,2,0,0,2,.273,.810
SheetsRF,3,0,0,0,1,1,2,.224,.657
1-PollockPR-LF,1,1,0,0,0,1,1,.240,.644
Moncada3B,5,1,2,2,0,2,0,.189,.543
"Garcia, LeLF-RF",4,1,2,0,1,1,2,.197,.483
ZavalaC,5,1,2,2,0,2,3,.289,.774
Harrison2B,4,1,2,3,1,0,0,.234,.659
,43,11,17,11,4,12,22,,
