PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
Glasnow,3.2,2,0,0,1,7,0,1.35
"Herget(L, 0-1)",4.1,7,4,4,0,3,0,7.71
,8.0,9,4,4,1,10,0,
