PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
"Seabold(L, 0-1)",4.2,9,7,7,1,7,3,13.50
Danish,0.1,0,0,0,0,0,0,3.81
"Davis, A",1.0,0,0,0,0,1,0,2.45
Sawamura,1.0,1,0,0,0,1,0,2.84
Robles,1.0,0,0,0,0,2,0,4.70
,8.0,10,7,7,1,11,3,
