BATTERS - BOS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
RefsnyderRF,4,0,0,0,1,1,2,.364,1.026
Devers3B,4,0,1,0,0,0,2,.333,.995
MartinezDH,4,0,0,0,0,1,1,.324,.910
BogaertsSS,3,1,1,0,1,2,0,.330,.873
VerdugoLF,4,1,2,0,0,0,2,.260,.686
Story2B,3,0,0,1,0,3,1,.224,.709
VázquezC,4,0,2,0,0,1,0,.286,.757
Bradley Jr.CF,4,0,0,0,0,1,3,.211,.564
Dalbec1B,4,0,2,1,0,1,1,.207,.617
,34,2,8,2,2,10,12,,
