BATTERS - LAA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Fletcher2B,4,0,0,0,0,0,1,.279,.702
TroutCF,3,1,2,0,0,0,1,.274,.971
OhtaniDH,4,1,2,2,0,1,2,.267,.882
Rengifo3B,4,1,1,1,0,0,2,.268,.733
WardRF,4,0,0,0,0,1,1,.259,.791
Ford1B,3,1,2,1,0,1,0,.203,.609
a-DuffyPH-1B,1,0,0,0,0,0,1,.259,.595
AdellLF,3,0,0,0,0,1,1,.228,.651
SierraLF,0,0,0,0,0,0,0,.192,.522
ThaissC,3,0,2,0,0,1,0,.273,.546
"Velazquez, ASS",3,0,0,0,0,3,3,.196,.539
,32,4,9,4,0,8,12,,
