Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
Sacramento River Cats,Triple-A,Away Games,0,0,4.50,1,1,0,2.0,7,1,1,1,0,1,1,1.00
Sacramento River Cats,Triple-A,Night Games,0,0,4.50,1,1,0,2.0,7,1,1,1,0,1,1,1.00
Sacramento River Cats,Triple-A,Leading Off,,,,1,,,0.1,2,0,,,0,1,0,3.00
