BATTERS - SF,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
EstradaSS,3,0,1,0,2,0,0,.263,.730
VillarDH,2,0,0,0,0,2,1,.213,.755
a-PedersonPH-DH,3,0,0,0,0,1,4,.261,.848
Flores2B,5,0,2,1,0,1,2,.231,.723
"Davis, J1B",4,0,1,1,1,3,2,.242,.733
Longoria3B,3,0,0,0,2,2,3,.235,.743
BartC,2,0,0,0,0,2,3,.221,.687
b-Wade Jr.PH-LF,3,0,1,0,0,1,6,.191,.653
BrinsonCF,2,1,1,0,0,0,0,.188,.766
c-YastrzemskiPH-CF,2,0,0,0,0,1,1,.205,.663
"Gonzalez, LLF",3,0,0,0,0,2,2,.249,.676
WynnsC,1,0,0,0,0,0,0,.230,.591
RamosRF,3,2,0,0,1,2,1,.100,.282
,36,3,6,2,6,17,25,,
