PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
Heaney,4.0,2,0,0,1,8,0,2.66
Ferguson,1.0,1,1,0,0,0,0,1.50
"Bickford(H, 7)",1.0,0,0,0,0,2,0,4.37
"Phillips, E(H, 19)",1.0,1,0,0,0,3,0,1.28
"Vesia(BS, 2)",1.0,1,1,1,3,2,0,2.36
"Kimbrel(W, 5-6)",1.0,0,0,0,0,1,0,3.96
"Jackson(H, 1)",0.2,1,1,0,2,1,0,0.00
"Bruihl(S, 1)",0.1,0,0,0,0,0,0,3.74
,10.0,6,3,1,6,17,0,
