BATTERS - PHI,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SchwarberLF,3,0,0,0,1,1,2,.207,.800
Hoskins1B,4,0,2,0,0,1,2,.253,.821
1-VierlingPR-1B,0,0,0,0,0,0,0,.213,.574
HarperDH,4,0,1,0,0,0,4,.317,1.000
"Castellanos, NRF",4,0,0,0,0,0,4,.253,.710
GregoriusSS,3,0,0,0,0,1,1,.297,.768
Bohm3B,4,1,2,0,0,0,1,.255,.650
"Herrera, OCF",3,0,1,0,0,1,2,.277,.811
a-RealmutoPH,0,1,0,0,1,0,0,.243,.678
Stott2B,3,0,0,0,0,1,2,.178,.541
"b-Munoz, YPH",1,0,0,0,0,1,2,.000,.250
StubbsC,3,1,2,3,1,0,0,.342,1.116
,32,3,8,3,3,6,20,,
