PITCHERS - MIA,IP,H,R,ER,BB,SO,HR,ERA
Castano,6.2,5,0,0,2,3,0,0.00
"Nance(H, 1)",0.1,0,0,0,0,1,0,3.52
"Bass(H, 11)",1.0,1,0,0,0,0,0,2.08
"Scott, Tan(L, 2-2)(BS, 1)",0.2,2,3,3,1,2,1,5.04
,8.2,8,3,3,3,6,1,
