BATTERS - LAD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BettsRF,4,0,0,0,0,1,1,.273,.884
"Freeman, F1B",3,1,1,0,1,1,0,.286,.816
TurnerSS,3,2,1,1,1,0,1,.298,.823
"Smith, W.D.C",4,1,1,3,0,0,0,.244,.772
Muncy3B,4,0,1,0,0,1,0,.156,.602
"Turner, JDH",4,0,1,0,0,1,0,.211,.625
BellingerCF,3,0,1,0,0,2,2,.206,.663
"Taylor, ChLF",2,0,0,0,1,1,3,.254,.790
Lux2B,3,0,0,0,0,1,1,.286,.735
,30,4,6,4,3,8,8,,
