BATTERS - PIT,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
VogelbachDH,4,0,2,0,0,1,0,.250,.500
"Reynolds, BCF",4,0,0,0,0,0,3,.227,.591
Hayes3B,4,2,4,1,0,0,0,.500,1.137
Tsutsugo1B,2,1,0,0,2,1,1,.222,.508
GamelLF-RF,3,2,1,3,1,1,2,.250,.983
NewmanSS,3,0,1,2,1,2,0,.211,.707
VanMeter2B,4,0,0,0,0,2,2,.000,.125
KnappC,4,0,0,0,0,1,0,.000,.000
ParkRF,2,1,0,0,1,1,0,.200,.533
MarisnickLF,0,0,0,0,0,0,0,.375,.875
,30,6,8,6,5,9,8,,
