PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
"Hendricks(L, 0-1)",3.2,7,6,6,4,4,1,7.00
Rucker,2.1,0,0,0,0,2,0,0.00
Wick,1.0,1,0,0,1,1,0,5.40
Effross,1.0,0,0,0,0,2,0,0.00
,8.0,8,6,6,5,9,1,
