PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
"Hicks, J",1.2,1,0,0,3,1,0,4.08
"Oviedo(W, 2-1)",1.1,2,1,1,1,1,0,3.32
"Liberatore(H, 1)",2.1,4,3,3,0,0,1,5.33
"Fernández, Jun(H, 2)",0.2,2,1,0,1,0,0,0.00
"Naughton(H, 2)",1.0,0,0,0,0,1,0,3.80
"Helsley(H, 6)",1.0,0,0,0,0,2,0,0.71
"Gallegos(S, 10)",1.0,1,1,1,1,2,1,3.44
,9.0,10,6,5,6,7,2,
