PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
"White, M(L, 1-2)",5.0,10,6,6,2,3,2,4.20
Bickford,1.0,0,0,0,0,0,0,5.22
Almonte,1.0,0,0,0,1,1,0,1.46
Price,1.0,3,1,1,0,1,0,3.63
,8.0,13,7,7,3,5,2,
