BATTERS - STL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
EdmanSS,5,0,2,0,0,0,1,.256,.692
CarlsonCF,4,1,0,0,1,1,4,.256,.721
Goldschmidt1B,5,0,1,0,0,1,2,.333,1.013
Arenado3B,3,0,1,1,1,0,0,.293,.880
Gorman2B,4,1,1,1,0,1,3,.242,.760
PujolsDH,3,1,1,1,1,1,1,.219,.700
YepezRF,3,1,1,0,0,1,1,.256,.762
NootbaarRF,1,1,1,0,0,0,0,.183,.602
DickersonLF,4,2,2,0,0,0,1,.207,.597
KniznerC,4,0,3,3,0,0,0,.197,.534
,36,7,13,6,3,5,13,,
