BATTERS - NYM,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
NimmoCF,3,0,0,0,0,1,2,.267,.773
"Marte, SRF",4,0,1,0,0,0,1,.300,.819
LindorSS,3,1,1,1,1,1,1,.261,.797
Alonso1B,4,0,0,0,0,2,3,.276,.896
VogelbachDH,3,0,0,0,1,0,0,.233,.778
McNeil2B,4,0,1,0,0,1,3,.297,.775
NaquinLF,4,0,2,0,0,0,1,.245,.741
Guillorme3B,4,0,1,0,0,0,2,.288,.731
NidoC,2,0,0,0,0,0,0,.216,.512
,31,1,6,1,2,5,13,,
