PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
"Stripling(L, 6-4)",6.0,7,3,3,0,6,2,2.94
Cimber,0.2,2,2,2,0,1,0,3.46
Mayza,0.1,1,1,1,0,0,1,3.06
"Richards, T",1.0,1,1,0,0,1,0,4.71
Phelps,0.2,2,1,1,2,1,1,2.65
Kikuchi,0.1,0,0,0,0,1,0,5.36
,9.0,13,8,7,2,10,4,
