BATTERS - CWS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Anderson, TiSS",5,1,3,3,0,0,3,.359,.917
Moncada3B,5,0,0,0,0,1,7,.157,.498
Robert Jr.CF,5,0,0,0,0,3,7,.285,.757
"Abreu, J1B",4,1,2,0,0,0,0,.216,.655
GrandalDH,5,0,0,0,0,2,3,.180,.521
SheetsRF,4,0,2,0,0,1,1,.219,.636
1-EngelPR-RF,0,1,0,0,0,0,0,.231,.638
"Garcia, Le2B",4,0,1,0,0,0,4,.194,.494
VaughnLF,3,1,2,1,0,0,0,.277,.802
PollockLF,0,0,0,0,0,0,0,.245,.660
McGuireC,4,1,3,1,0,0,1,.194,.446
,39,5,13,5,0,7,26,,
