Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2017,21,28.9,4.23,,10,6,56,91.8
2019,23,28.6,4.19,,39,7,97,85.9
2020,24,27.9,4.29,,40,12,122,75.8
2021,25,27.4,4.42,,35,30,282,58.4
2022,26,27.8,4.36,,38,32,243,61.2
