,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,582,535,66,134,16,60,2,.250,.306,.413,.719
5 Seasons,1383,1273,175,327,47,161,10,.257,.309,.434,.743
