PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Darvish(L, 10-5)",6.0,7,2,2,0,5,1,3.28
"García, L",1.0,3,2,2,0,1,1,3.54
"Hill, T",1.0,1,0,0,0,1,0,3.27
,8.0,11,4,4,0,7,2,
