BATTERS - WSH,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Thomas, LRF",4,0,1,0,0,0,0,.248,.723
AbramsSS,4,0,1,0,0,0,0,.240,.601
Meneses1B,3,0,1,0,1,1,0,.326,.942
VoitDH,4,0,0,0,0,1,4,.229,.722
HernándezLF,4,0,0,0,0,1,0,.247,.628
"García, L2B",3,0,2,0,0,0,0,.275,.698
"Vargas, I3B",3,0,1,0,0,1,2,.273,.729
RoblesCF,3,0,0,0,0,1,2,.229,.591
AdamsC,3,0,0,0,0,1,0,.178,.545
,31,0,6,0,1,6,8,,
