PITCHERS - WSH,IP,H,R,ER,BB,SO,HR,ERA
"Abbott(L, 0-4)",5.0,3,5,4,3,7,2,5.11
"Machado, A",1.0,2,3,0,0,0,1,3.64
Weems,1.0,0,0,0,1,0,0,5.40
"Thompson, M",1.0,1,0,0,1,0,0,2.41
Cishek,1.0,0,0,0,0,1,0,4.41
,9.0,6,8,4,5,8,3,
