PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
Snell,5.0,6,3,2,2,7,0,3.66
"Hill, T",0.2,1,0,0,0,0,0,3.09
"Suarez, R",1.1,0,0,0,0,2,0,2.67
"Martinez, N",1.0,0,0,0,1,2,0,3.13
"Hader(L, 2-5)",0.0,2,3,3,1,0,1,5.30
"García, L",1.0,0,0,0,0,2,0,3.48
,9.0,9,6,5,4,13,1,
